1	Chelsea	#CFC
2	Arsenal	#AFC
3	Manchester City	#MCFC
4	Manchester United	#MUFC
5	Liverpool	#LFC
6	Tottenham Hotspurs	#THFC
7	Newcastle United	#NUFC
8	Norwich City	 #NCFC
9	Sunderland	#SAFC
10	Everton	#EFC
11	Swansea City	#SWANS
12	Fulham	#FFC
13	Stoke City	#SCFC
14	West Bromwich Albion	#WBAFC
15	Aston Villa	#AVFC
16	Queens Park Rangers	#QPR
17	Blackburn Rovers	#BRFC
18	Wolverhampton Wanderers	#WWFC
19	Bolton Wanderers	#BWFC
20	Wigan Athletic	#WAFC
