Hatem	Ben Arfa	7	M
Yohan	Cabaye	7	M
Daniel	Gosling	7	M
Danny Sean	Guthrie	7	M
Jonas Manuel	Gutierrez	7	M
Cheikh Ismael	Tioté	7	M
Samuel Sammy	Ameobi	7	A
Shola	Ameobi	7	A
Demba	Ba	7	A
Leon Julian Brendan	Best	7	A
Papiss Demba	Cisse	7	A
Peter Rosenkrands	Lovenkrands	7	A
Sylvain	Marveaux	7	A
Gabriel	Obertan	7	A
Nile	Ranger	7	A
Alan Scott	Pardew	7	C
Declan	Rudd	8	G
John	Ruddy	8	G
Jed	Steer	8	G
Leon	Barnett	8	D
Adam	Drury	8	D
Russell	Martin	8	D
Kyle	Naughton	8	D
Daniel	Sanchez Ayala	8	D
Marc	Tierney	8	D
Elliott	Ward	8	D
Zak	Whitbread	8	D
Tom	Adeyemi	8	M
Matthew	Ball	8	M
Elliott	Bennett	8	M
Andrew	Crofts	8	M
David	Fox	8	M
Wesley	Hoolahan	8	M
Jonathan	Howson	8	M
Bradley	Johnson	8	M
Simon	Lappin	8	M
Andrew	Surman	8	M
Anthony	Pilkington	8	M
Grant	Holt	8	A
Steve	Morison	8	A
Simeon Alexander	Jackson	8	A
James	Vaughan	8	M
Aaron	Wilbraham	8	M
Paul Christopher	Lambert	8	M
Craig Sinclair	Gordon	9	G
Simon	Mignolet	9	G
Keiran	Westwood	9	G
Phillip Anthony Phil	Bardsley	9	D
Titus Malachi	Bramble	9	D
Wayne Michael	Bridge	9	D
Wesley Michael Wes	Brown	9	D
Matthew	Kilgallon	9	D
Sotirios	Kyrgiakos	9	D
John Francis	O#Shea	9	D
Kieran Edward	Richardson	9	D
Michael	Turner	9	D
Ahmed Eissa El#Mohamady	Abdel Fattah	9	M
Jack	Colback	9	M
Lee Barry	Cattermole	9	M
Craig	Gardner	9	M
Sebastian Benet	Larsson	9	M
James	McClean	9	M
David	Meyler	9	M
Adam Michael	Reed	9	M
Stephane	Sessegnon	9	M
David	Vaughan	9	M
Nicklas	Bendtner	9	A
Fraizer	Campbell	9	A
Dong Won	Ji	9	A
Oumare	Tounkara	9	A
Craig	Lynch	9	A
Connor	Wickham	9	A
Martin	O#Neill	9	C
Marcus	Hahnemann	10	G
Timothy Matthew	Howard	10	G
Jan	Mucha	10	G
Leighton John	Baines	10	D
Seamus	Coleman	10	D
Sylvain	Distin	10	D
Shane	Duffy	10	D
John	Heitinga	10	D
Tony	Hibbert	10	D
Philip Nikodem	Jagielka	10	D
Ross	Barkley	10	M
Timothy	Cahill	10	M
Royston Ricky	Drenthe	10	M
Marouane	Fellaini Bakkioui	10	M
Adam	Forshaw	10	M
Darron Thomas Daniel	Gibson	10	M
Leon	Osman	10	M
Philip John	Neville	10	M
Steven	Pienaar	10	M
Jack Christian	Rodwell	10	M
Francisco	Junior Santos Da#Silva 	10	M
Victor Chinedu	Anichebe	10	A
Jose	Baxter	10	A
Magaye	Gueye	10	A
Nikica	Jelavic	10	A
Conor	McAleny	10	A
James	McFadden	10	A
Joao Pedro	Silva Pereira	10	A
Denis	Stracqualursi	10	A
Apostolos	Vellios	10	A
David William	Moyes	10	C
Dorus	de#Vries	18	G
Wayne	Hennessey	18	G
Aaron	McCarey	18	G
Sebastien Aymar	Bassong Nguena	18	D
Christophe	Berra	18	D
Jody	Craddock	18	D
Kevin Patrick	Foley	18	G
Roger	Johnson	18	D
Richard	Stearman	18	D
Stephen	Ward	18	D
Ronald	Zubar	18	D
Ethan	Ebanks Landell	18	M
David	Edwards	18	M
Anthony	Forde	18	M
John Rory	Gorman	18	M
Adam	Hammill	18	M
Stephen Patrick	Hunt	18	M
Karl Levi Daniel	Henry	18	M
Matthew Thomas Matt	Jarvis	18	M
Eggert Gunnthor	Jonsson	18	M
Michael John	Kightly	18	M
Nenad	Milijas	18	M
Jamie	O#Hara	18	M
Kevin Edward	Doyle	18	A
Sylvan	Ebanks Blake	18	A
Steven	Fletcher	18	A
Terry	Connor	18	C
Jose Filipe	Moreira da#Silva 	11	G
Gerhard	Tremmel	11	G
Michel	Vorm	11	G
Frederico	Bessone	11	D
Steven	Caulker	11	D
Garry	Monk	11	D
Curtis	Obeng	11	D
Angel	Rangel Zaragoza	11	D
Darnel	Situ	11	D
Alan	Tate	11	D
Neil	Taylor	11	D
Joe	Walsh	11	D
Ashley	Williams	11	D
Kemy Germain	Agustien	11	M
Joe	Allen	11	M
Ferrie	Bodde	11	M
Leon	Britton	11	M
Scott	Donnelly	11	M
Nathan	Dyer	11	M
Mark	Gower	11	M
Joshua Marl Josh	McEachran	11	M
Andrea	Orlandi	11	M
Ashley	Richards	11	M
Wayne Neville Anthony	Routledge	11	M
Gylfi Thor	Sigurdsson	11	M
Scott Andrew	Sinclair	11	M
Stephen	Dobbie	11	A
Rory	Donnelly	11	A
Danny	Graham	11	A
Leroy	Lita	11	A
Luke Isaac	Moore	11	A
Brendan	Rodgers	11	C
Marcus	Bettinelli	12	G
Neil Leonard Dula	Etheridge	12	G
Mark	Schwarzer	12	G
Csaba	Somogyi	12	G
David Adam	Stockdale	12	G
Chris	Baird	12	D
Zdenek	Grygera	12	D
Rafik	Halliche	12	D
Brede	Hangeland	12	D
Aaron William	Hughes	12	D
Stephen Michael	Kelly	12	D
John Arne Semundseth	Riise	12	D
Philippe	Senderos	12	D
Alex	Smith	12	D
Simon	Davies	12	M
Clint	Dempsey	12	M
Tom	Donegan	12	M
Damien Anthony	Duff	12	M
Dickson Paul	Etuhu	12	M
Kerim	Frei	12	M
Marcel	Gecov	12	M
Courtney	Harris	12	M
Pajtim	Kasami	12	M
Daniel Benjamin Dany	Murphy	12	M
Bjorn Helge Semundseth	Riise	12	M
Steve	Sidwell	12	M
Orlando Carlos	Braga de#Sa	12	A
Moussa Sidi Yaya	Dembele	12	A
Andrew Andy	Johnson	12	A
Pavel	Pogrebnyak Pog	12	A
Bryan	Ruiz Gonzalez	12	A
Marcello	Trotta	12	A
Martin	Jol	12	C
Asmir	Begovic	13	G
Thomas	Lovendahl Sorensen	13	G
Carlo James	Nash	13	G
Daniel Lewis Danny	Collins	13	D
Robert	Huth	13	D
Ryan	Shawcross	13	D
Ryan	Shotton	13	D
Matthew James	Upson	13	D
Andrew Gordon Andy	Wilkinson	13	D
Jonathan Simon	Woodgate	13	D
Hugo Diego	Arismendi Ciapparetta	13	M
Michael	Clarkson	13	M
Lucas	Dawson	13	M
Rory John	Delap	13	M
Salif Alassane	Diao	13	M
Matthew	Etherington	13	M
Wilson Roberto	Palacios Suazo	13	M
Jermaine Lloyd	Pennant	13	M
Glenn David	Whelan	13	M
Dean	Whitehead	13	M
Marc Wilson	Wilson	13	M
Peter James	Crouch	13	A
Ricardo Dwayne	Fuller	13	A
Cameron	Jerome	13	A
Kenwyne Joel	Jones	13	A
Mamady	Sidibe	13	A
Jonathan Ronald	Walters	13	A
Anthony Richard Tony	Pulis	13	C
Luke	Daniels	14	G
Benjamin Anthony Ben	Foster	14	G
Marton	Fulop	14	G
Craig	Dawson	14	D
Billy	Jones	14	D
Gareth	McAuley	14	D
Liam	O#Neil	14	D
Jonas	Olsson	14	D
Liam	Ridgewell	14	D
Nicky	Shorey	14	D
Gabriel	Tamas	14	D
Keith Joseph	Andrews	14	D
Christopher	Brunt	14	M
Graham	Dorrans	14	M
Zoltan	Gera	14	M
Sam	Mantom	14	M
James	Morrison	14	M
Youssouf	Mulumbu	14	M
Steven John	Reid	14	M
Kemar	Roofe	14	M
Paul	Scharner	14	M
Somen	Tchoyi	14	M
Jerome	Thomas	14	M
Simon Richard	Cox	14	A
Marc Antoine	Fortune	14	A
Shane Patrick	Long	14	A
Adil	Nabi	14	A
Peter Osazemwinde	Odemwingie	14	A
Roy	Hodgson	14	C
Seamus John Shay	Given	15	G
Brad	Guzan	15	G
Andy	Marshall	15	G
Nathan	Baker	15	D
Ciaran	Clark	15	D
James Michael	Collins	15	D
Carlos Javier	Cuellar Jimenez	15	D
Richard Patrick	Dunne	15	D
Alan	Hutton	15	D
Eric	Lichaj	15	D
Enda	Stevens	15	D
Stephen David	Warnock	15	D
Derrick	Williams	15	D
Marc	Albrighton	15	M
Barry	Bannan	15	M
Fabian	Delph	15	M
Gary	Gardner	15	M
Chris	Herd	15	M
Stephen James	Ireland	15	M
Daniel	Johnson	15	M
Charles	N#Zogbia	15	M
Stiliyan Alyoshev Stan	Petrov	15	M
Gabriel Imuetinyan	Agbonlahor	15	A
Darren Ashley	Bent	15	A
Graham	Burke	15	A
Emile William Ivanhoe	Heskey	15	A
Andreas	Weimann	15	A
Alexander Alex	McLeish	15	C
Mark John	Bunn	17	G
Jacob Kendall	Kean	17	G
Paul	Robinson	17	G
Myles	Anderson	17	D
Scott	Dann	17	D
Bruno	Ribeiro De#Paula Ingracia	17	D
Gael	Givet Viaros	17	D
Grant	Hanley	17	D
Adam	Henley	17	D
Jason	Lowe	17	D
Martin Tony Waikwa	Olsson	17	D
Bradley James	Orr	17	D
Míchel	Salgado Fernandez	17	D
Robbie	Cotton	17	M
David	Dunn	17	M
Vincenzo	Grella	17	M
Amine	Linganzi Koumba	17	M
Steven N#Kemboanza	N#Zonzi	17	M
Marcus	Olsson	17	M
Morten Gamst	Pedersen	17	M
Radoslav	Petrovic	17	M
Simon	Vukcevic	17	M
Yakubu	Aiyegbeni	17	A
Nick	Blackman	17	A
Mauro	Formica	17	A
David	Goodwillie	17	A
David Junior	Hoilett	17	A
Anthony	Modeste	17	A
Josh	Morris	17	A
Ruben	Rochina Naixes	17	A
Steve	Kean	17	C
Ali Abdullah Harib	Al#Habsi	20	G
Christopher Edmund Chris	Kirkland	20	G
Mike	Pollitt	20	G
Antolin	Alcaraz Viveros	20	D
Emmerson Orlando	Boyce	20	D
Adam	Buxton	20	D
Gary	Caldwell	20	D
Maynor Alexis	Figueroa Rochez	20	D
Steve Lohore Ulrich	Gohouri	20	D
Adrian	Piscu Lopez Rodriguez 	20	D
Jordan	Robinson	20	D
Ronnie	Stam	20	D
Jean Andre Emanuel	Beausejour Coliqueo	20	M
Albert	Crusat Domene	20	M
Mohamed	Diame	20	M
Jordi	Gomez Garcia Penche	20	M
David	Jones	20	M
James	McArthur	20	M
James	McCarthy	20	M
Victor	Moses	20	M
Hendry Bernardo	Thomas Suazo	20	M
Ben	Watson	20	M
Franco Matias	Di#Santo	20	A
Shaun	Maloney	20	A
Callum Henry	McManaman	20	A
Hugo	Rodallega Martinez	20	A
Conor	Sammon	20	A
Roberto	Martinez Montoliu	20	C
Paul	Scholes	4	M
Patrick Joseph Paddy	Kenny	16	G
Radek	Cerny	16	G
Brian	Murphy	16	G
Bruno	Caldini Perone	16	D
Anton Julian	Ferdinand	16	D
Daniel Leon Danny	Gabbidon	16	D
Fitz	Hall	16	D
Michael	Harriman	16	D
Clinton Scott Clint	Hill	16	D
Chinedum Nedum	Onuoha	16	D
Daniel Olusola Danny	Shittu	16	D
Taye Ismaila	Taiwo	16	D
Armand	Traore	16	D
Luke Paul	Young	16	D
Joey Anthony	Barton	16	M
Akos	Buzsaky	16	M
Bruno Miguel	Carvalho Andrade	16	M
Shaun	Derry	16	M
Samba	Diakite	16	M
Michael	Doughty	16	M
Kieron Courtney	Dyer	16	M
Alejandro	Faurlin	16	M
Jordan	Gibbons	16	M
Adel	Taarabt	16	M
Shaun	Wright Phillips	16	M
Angelo Jasiel	Balanta	16	A
Jay	Bothroyd	16	A
Dudley Junior DJ	Campbell	16	A
Djibril	Cisse	16	A
Heidar	Helguson	16	A
Troy	Hewitt	16	A
Rob	Hulse	16	A
Jamie	Mackie	16	A
Tommy	Smith	16	A
Robert Lester Bobby	Zamora	16	A
Leslie Mark	Hughes	16	C
