2012-03-04 17:03:21	umark23	RT @premierleague: Tottenham substitutes: Cudicini, Dawson, Nelsen, Kranjcar, Rose, Giovani, Defoe. #bpl #thfc #mufc			
2012-03-04 17:03:21	Tyandrasmita	RT @dinnarizki: RT @dee_vee7: RT @MarisaManUtd: Villas-Boas 25 weeks. Sir Alex Ferguson 25 years.  #MUFC Not Arrogant Just Better!			
2012-03-04 17:03:21	DEXTERIZATlON	Let's go #MUFC!!			
2012-03-04 17:03:22	MightyBoof84	Why isn't Valencia playing for us?#MUFC			
2012-03-04 17:03:22	SamRobinson9	RT @InfostradaLive: With his 986th league match in charge of Manchester United, Sir Alex Ferguson will surpass the all-time club record  ...			
2012-03-04 17:03:22	Sir_franklyn	Okay... Rooney let's give chelsea's fans something to cheer about.... #mufc			
2012-03-04 17:03:22	smanro	RT @premierleague: Manchester United substitutes: Amos, Fabio, Rafael, Anderson, Giggs, Park, Hernandez. #bpl #thfc #mufc			
2012-03-04 17:03:22	JustinBrown66	Come on united #MUFC			
2012-03-04 17:03:23	Anthony_Russo10	#mufc			
2012-03-04 17:03:23	gustianharry	Siap nonton #MUFC !			
2012-03-04 17:03:23	muhrichard	RT @premierleague: Manchester United starting line-up: De Gea, Evra, Jones, Ferdinand, Evans, Carrick, Nani, Young, Scholes, Rooney, Wel ...			
2012-03-04 17:03:24	pacemakerhill	RT @MichaelLCrick: #MUFC starting line-up v Spurs today contains seven Englishmen			
2012-03-04 17:03:25	Jonathon662	RT @InfostradaLive: With his 986th league match in charge of Manchester United, Sir Alex Ferguson will surpass the all-time club record  ...			
2012-03-04 17:03:25	Indianaveer	RT @InfostradaLive: With his 986th league match in charge of Manchester United, Sir Alex Ferguson will surpass the all-time club record  ...			
2012-03-04 17:03:26	whitehoos1	RT @StanCollymore: #MUFC : De Gea, Jones, Evans, Ferdinand, Evra, Scholes, Carrick, Nani, Rooney, Young, Welbeck #talksport			
2012-03-04 17:03:26	DenisChervaux	#PL #THFC #MUFC			
2012-03-04 17:03:27	inspectorsaab	I thought Kick off was at 4pm? #mufc #thfc			
2012-03-04 17:03:27	ekabwogi	@solothang sasa ni #mufc . Hapo ndipo nnapoungana na @MwanaFA			
2012-03-04 17:03:27	robhindle_89	Come on you redsss! Need to win this! #mufc #supersunday			
2012-03-04 17:03:27	anups007	"RT @ManUtdStuff: SAF on AVB sack: \""I wasn't surprised.\"" #MUFC #CFC"			
2012-03-04 17:03:28	gazlovell23	Utd need a big win 2day #MUFC			
2012-03-04 17:03:28	toyZone_jr	RT @premierleague: Tottenham substitutes: Cudicini, Dawson, Nelsen, Kranjcar, Rose, Giovani, Defoe. #bpl #thfc #mufc			
2012-03-04 17:03:29	Lucasbarnes	Outra coisa boa é o retorno do Rooney, faz muita falta. Jogo difícil, mas é fundamental a vitória, não pode deixar o City abrir.  #MUFC			
2012-03-04 17:03:29	YuanAprilianus	RT @UtdIndonesia: MUFC Subs: Amos, Anderson, Giggs, Park, Hernandez, Fabio, Rafael. #MUFC			
2012-03-04 17:03:29	FunnellJonny	Cum on u red men #MUFC			
2012-03-04 17:03:30	Joe9Palmer	BIG game let's do it! #MUFC			
2012-03-04 17:03:30	MUFC_NewsGroup	Spurs v Man Utd live! http://t.co/BgG8YHYY #MUFC			
2012-03-04 17:03:30	seunghwanwi	RT @premierleague: Manchester United substitutes: Amos, Fabio, Rafael, Anderson, Giggs, Park, Hernandez. #bpl #thfc #mufc			
2012-03-04 17:03:31	ElijahNang	RT @Live_Goals: FT: Fulham 5 Wolves 0 - follow live here http://t.co/mMsH7OEa #ffc #wwfc #thfc #mufc #epl			
2012-03-04 17:03:31	JournoPula	No Bale, no VDV, will Spurs be able to win at home without their two top performers? #EPL #Spurs #MUFC http://t.co/CEBPLYbl			
2012-03-04 17:03:31	matt807a	No Bale, VDV or Parker for #THFC. We need 3 points. Come on #MUFC			
2012-03-04 17:03:31	greatsage70	Old Thumper time for me....... Mrs Sage is in charge of Yorky Puds & Roast Tatties , Lets see if #thfc can do #mufc 8-)))			
2012-03-04 17:03:32	adethornley	Cleaning shit done, fulham game gud, time to chill watch #mufc come on!			
2012-03-04 17:03:32	antoine_rahal	RT @premierleague: Manchester United starting line-up: De Gea, Evra, Jones, Ferdinand, Evans, Carrick, Nani, Young, Scholes, Rooney, Wel ...			
2012-03-04 17:03:32	nikkluqq	RT @premierleague: Manchester United starting line-up: De Gea, Evra, Jones, Ferdinand, Evans, Carrick, Nani, Young, Scholes, Rooney, Wel ...			
2012-03-04 17:03:33	SamJamesBaxter	Let's get a win today! #MUFC			
2012-03-04 17:03:33	ChipsyStryder	"RT @Killz10: #MUFC starting line up: De Gea; Jones, Evans, Ferdinand, Evra; Young, Scholes, Carrick, Nani; Rooney, Welbeck"			
2012-03-04 17:03:33	ruliaom	UNITED ! \\m/ RT @UtdIndonesiaTSM: ''we love United we do..we love United we do..oohhh United we love you!'' #chants #MUFC			
2012-03-04 17:03:34	LucaStacul	RT @InfostradaLive: With his 986th league match in charge of Manchester United, Sir Alex Ferguson will surpass the all-time club record  ...			
2012-03-04 17:03:34	kerry_ioulianou	RT @MadAboutMUFC: 40 - #MUFC hit the target with 40% of all their shots - the highest proportion in the PL. @ManUtd_Fact @nickcoppack			
2012-03-04 17:03:35	Cannzzzz	#MUFC			
2012-03-04 17:03:35	Torve91	straks klart for helgens store høydepunkt. #thfc v #mufc - come on UNITED!			
2012-03-04 17:03:35	Thomas_Kindblad	Seger mot Spurs och Man U tar ligan. Förlust och Man Shitty tar den.  Massive game. #MUFC #MCFC #PL			
2012-03-04 17:03:35	mattyboydavis	Watching the footy at the pub... Not sure how I feel about the game! No bale makes me feel a lot better though! #MUFC			
2012-03-04 17:03:36	TAH2K9	No Bale or Van Der Vaart for Spurs, that's them fucked #THFC #MUFC			
