2013-03-17 02:37:34	skatingat40	RT @miketomalaris: #msr is trending. Haven't seen so much build-up for a Classic in Oz since #sbs first live broadcast of Paris-Roubaix  ...
2013-03-17 02:39:16	b_r_e_t_t	RT @miketomalaris: #msr is trending. Haven't seen so much build-up for a Classic in Oz since #sbs first live broadcast of Paris-Roubaix  ...
2013-03-17 02:54:53	macxcited	RT @miketomalaris: #msr is trending. Haven't seen so much build-up for a Classic in Oz since #sbs first live broadcast of Paris-Roubaix  ...
2013-03-17 02:56:10	DLark1n	RT @PelotonWatch: Final #msr #MilanSanRemo Start List http://t.co/yl5d4OJQRu
2013-03-17 03:03:00	Craigcycletitle	@OffsidersABC no mention of #msr?several potential Aus winners could be 3rd year straight for Aussie in 1st monument of cycling. #blinkerson
2013-03-17 03:03:52	bruceweaver	@Vaughters come on JV, we don't do secrets anymore in cycling, who's your pick? ;) #msr
2013-03-17 03:09:58	WriteOnRideOn	How many hours till #MilanoSanRemo??? #Cycling in Bella Italia. Worth waking up early on the weekend. #msr
2013-03-17 03:16:35	davemacka	RT @miketomalaris: #msr is trending. Haven't seen so much build-up for a Classic in Oz since #sbs first live broadcast of Paris-Roubaix  ...
2013-03-17 03:26:45	abcbikes	@scullyau  Milan-San Remo : 12.35am - 3.30am : SBS ONE/SBS HD @CyclingCentral #msr
2013-03-17 03:31:06	CyclingCentral	Join us for a Milan-San Remo LIVE chat during the great race, from 12:35am http://t.co/R1bAmWblMi #msr
2013-03-17 03:35:08	JoshuaSnodin	Saga surely has to be a favourite to win milan-san remo. I can't see anyone else being a massive danger to him in a group gallop #msr
2013-03-17 03:50:30	aaronshanelee	RT @CyclingCentral: Join us for a Milan-San Remo LIVE chat during the great race, from 12:35am http://t.co/R1bAmWblMi #msr
2013-03-17 04:04:50	Tifosipazzi	Getting primed for the #msr by having my afternoon kip. Will have dinner and hit the sack for a more few hours.
2013-03-17 04:08:14	anth_anderson	I'm tipping a #redbull weekend hopefully @AussieGrit 2 win #grandprix &amp; this bloke winning #milanosanremo2013 #msr  http://t.co/4KmvqmgE7F
2013-03-17 04:09:29	CressyDylan	RT @CyclingCentral: Join us for a Milan-San Remo LIVE chat during the great race, from 12:35am http://t.co/R1bAmWblMi #msr
2013-03-17 04:13:20	CressyDylan	RT @miketomalaris: #msr is trending. Haven't seen so much build-up for a Classic in Oz since #sbs first live broadcast of Paris-Roubaix  ...
2013-03-17 04:29:13	mwkeenan	RT @CyclingCentral: Join us for a Milan-San Remo LIVE chat during the great race, from 12:35am http://t.co/R1bAmWblMi #msr
2013-03-17 04:47:17	GioSellecchia	RT @chava_sylvain: I'm Ready for tomorrow 1st classic 2013 #msr number 173 and profil. http://t.co/LJ8rDVDFdX
2013-03-17 04:48:22	FlandersRoubaix	with all eyes on Sagan - watch for @chava_sylvain who will be given green light from @opqscyclingteam to attack... #msr not long to go...
2013-03-17 04:51:31	NeleRuth	5:50 uur in San Remo. Het regent. Heren wielrenners: 'passo di oppie' vandaag. #msr
2013-03-17 05:09:39	andrewlspears	So pumped for #msr tomorrow! #suckerfortheclassics
2013-03-17 05:11:27	macxcited	RT @CyclingCentral: Join us for a Milan-San Remo LIVE chat during the great race, from 12:35am http://t.co/R1bAmWblMi #msr
2013-03-17 05:18:00	aaronshanelee	@mwkeenan my Nanna Nap is in the books... Time to tough it out cause I AIN'T gonna miss this one! #msr #sbs #titlefight #justbringit
2013-03-17 05:18:40	tdfclarky	6am. Wet as a MOFO outside in Sanremo. Too excited to sleep, not sure how those racing deal with it!! Can't wait to see who wins!! #msr
2013-03-17 05:18:46	CyclistAus	RT @aaronshanelee: @mwkeenan my Nanna Nap is in the books... Time to tough it out cause I AIN'T gonna miss this one! #msr #sbs #titlefig ...
2013-03-17 05:24:21	jswainhart	@chava_sylvain Good luck! #msr
2013-03-17 05:25:03	PaddyBurt1	Can't pick a favourite for #msr but ill put $5 on Fabian Cancellara coming second
2013-03-17 05:26:12	KouIpoNani	#mysistersroom Honeycomb Hideout #instagram straight flexing #msr #eav #eastatlanta #Atlanta #atl #lit… http://t.co/tjI5i6Lssf
2013-03-17 05:37:36	RachComments	Great days viewing Australian #f1 &amp; Milano San Remo #msr. Wishing all the Aussies luck!
2013-03-17 05:39:56	tuttobiciweb_it	MILANO-SANREMO. Follow LIVE the race from 1st km: http://t.co/s7qldnpm2j #msr http://t.co/kJGNzNQTTZ
2013-03-17 05:40:30	Giulia_DeMaio	RT @tuttobiciweb_it: MILANO-SANREMO. Follow LIVE the race from 1st km: http://t.co/s7qldnpm2j #msr http://t.co/kJGNzNQTTZ
2013-03-17 05:42:08	slm0315	Glow party...dancing, drinks and great company equals an amazing night. #msr   @ofcboogie http://t.co/5uRhw0EvAD
2013-03-17 05:54:30	nealhenderson	Early morning here in Milan, looking cold &amp; wet outside.  Going to make for a tough 300km.  OK, 300km is tough regardless of weather. #msr
2013-03-17 05:55:20	CastelliCycling	Gimondi winning #msr in 1974 http://t.co/VDiZNvqe2G
2013-03-17 05:55:48	Craigcycletitle	@TeamMTNQhubeka good luck to the new kids on the block for #msr well deserved start.
2013-03-17 06:04:30	Marchalsander	Dagje #feyutr en #msr
2013-03-17 06:05:00	KouIpoNani	She got my ass. Literally. #ass #ass ass ass ass lmao #lesbians #msr :) #funtimes #drunk http://t.co/JRGpOHSIhi
2013-03-17 06:07:58	Scotty_Cycles	Good night Twitterati! Catch you in the mornign for #msr
2013-03-17 06:09:54	Tifosipazzi	Don't care what the purists say. The best spring classic is #msr. Only took 104 years for #sbs to get on board. Many thanks
2013-03-17 06:13:41	Tifosipazzi	Who is tan man kidding to think Mark Renshaw is capable of winning #msr. Great rider but not this race. @cyclingcentral
2013-03-17 06:16:40	SSirotti	“@ozDanJones: Ok so it just after 7am here, no signs of snow, but its quite fresh and drizzling rain. http://t.co/kdPJriKbbL” #msr
2013-03-17 06:25:40	RichardPlugge	Yesterday, on normal raceday, spring was ready for #msr, today it is crying we didn't start.
2013-03-17 06:27:59	albertocelani	Pouring rain in Milan. It's just the beginning they say... #msr #cycling
2013-03-17 06:28:43	belisolgoes	Goodluck @Lotto_Belisol #primavera #msr #belisolGoes http://t.co/w9dLsZPdaw
2013-03-17 06:29:26	cyclingpro	Ore 7 e 10, nevica sulla @milasanremo Giornata campale! #msr http://t.co/nZAy2q0CGY
2013-03-17 06:33:34	ekstromenator	@broomwagonblog For how long will Andy race, 250 kilometers ? #msr #pr0cycling #laprimavera
2013-03-17 06:33:52	kimcando	s@brendan_d32 Sounds like a plan. Going to be a ripper, it will be cold, wet and miserable. Go @ThorHushovd #msr #Hardmansrace.
2013-03-17 06:34:37	kimcando	@brendan_d32 Sounds like a plan. Going to be a ripper, it will be cold, wet and miserable. Go @ThorHushovd #msr #Hardmansrace.
2013-03-17 06:35:02	ankiesmeets	@TeamMTNQhubeka Good luck today guys #msr
2013-03-17 06:36:08	nessuno_77	@adestefanoRai Ops...ma l'hai fatta spostare tu la data della #msr per festeggiare un bel giorno di cislimo? Auguri:)
2013-03-17 06:36:11	ServiceCourse	@wigglebikeshop @CastelliCycling #msr sagan.
2013-03-17 06:39:49	nessuno_77	@davidecassani secondo me ti vedrò alla partenza della #msr :)
2013-03-17 06:40:00	MichaelHuising	"@PatLefevere: So breakfast and go to the start. #milanosanremo2013  here we come. This is not a race for pussy's" #msr
2013-03-17 06:41:01	SergioCapelli	RT @cyclingpro: Ore 7 e 10, nevica sulla @milasanremo Giornata campale! #msr http://t.co/nZAy2q0CGY
2013-03-17 06:41:57	tourdecouch	Despite rational thought my mouth watering for a smoky flavoured haussler for #msr
2013-03-17 06:45:38	Kimbo_Ramplin	Pinging from #F1 to #msr ... weather sounds nasty.
2013-03-17 06:45:45	kimcando	@giveitaburl Would love to see it, think young @taylorphinney may be a smokey in these condtitions as well #msr  #DoingitforAle
